iata,time_zone_id,name,city_code,country_id,location,elevation,icao,city,state
ITN,America/Bahia,Itabuna,ITN,BR,POINT (-39.3 -14.8),505,SWTX,Itabuna,Bahia
ITR,America/Sao_Paulo,Hidroeletrica,ITR,BR,POINT (-49.21306537143137 -18.44603765),1538,SBIT,Itumbiara,Goias
IZA,America/Sao_Paulo,Zona da Mata Regional Airport,JDF,BR,POINT (-43.173058 -21.513056),1318,SBZM,Rio Novo,Minas Gerais
JCB,America/Sao_Paulo,Joacaba,JCB,BR,POINT (-51.55345654971351 -27.17148265),2516,SSJA,Joacaba,Santa Catarina
JCM,America/Bahia,Jacobina,JCM,BR,POINT (-40.55150285692899 -11.1640584),1548,SNJB,Jacobina,Bahia
JDF,America/Sao_Paulo,Francisco De Assis,JDF,BR,POINT (-43.333332 -21.75),2562,SBJF,Juiz de Fora,Minas Gerais
JDO,America/Fortaleza,Orlando Bezerra de Menezes Airport,JDO,BR,POINT (-39.316666 -7.2),1243,SBJU,Juazeiro do Norte,Ceara
JDR,America/Sao_Paulo,Sao Joao Del Rei,JDR,BR,POINT (-44.224610172835526 -21.0852396),3057,SNJR,Tiradentes,Minas Gerais
JEQ,America/Bahia,Jequie,JEQ,BR,POINT (-40.071268208841715 -13.8775218),610,SNJK,Jequie,Bahia
LAJ,America/Sao_Paulo,Correia Pinto Airport,LAJ,BR,POINT (-50.316666 -27.8),3065,SBLJ,Lages,Santa Catarina
LBR,America/Manaus,Labrea,LBR,BR,POINT (-64.85 -7.25),190,SWLB,Canutama,Amazonas
LAZ,America/Bahia,Bom Jesus Da Lapa,LAZ,BR,POINT (-43.409181138408584 -13.26170655),1454,SBLP,Bom Jesus da Lapa,Bahia
JJD,Brazil/East,Jericoacoara,JJD,BR,POINT (-40.357153993491025 -2.9061462999999996),29,SBJE,Cruz,Ceara
JJG,America/Sao_Paulo,Jaguaruna Regional Airport,JJG,BR,POINT (-49.05437795338313 -28.66726125),82,SBJA,Jaguaruna,Santa Catarina
LDB,America/Sao_Paulo,Londrina Airport,LDB,BR,POINT (-51.137714 -23.328457),1867,SBLO,Londrina,Parana
JLS,America/Sao_Paulo,Jales,JLS,BR,POINT (-50.55 -20.166668),1532,SDJL,Jales,Sao Paulo
LEC,America/Bahia,Coronel Horacio de Mattos Airport,LEC,BR,POINT (-41.281113 -12.48),1676,SBLE,Vera Cruz,Bahia
LEP,America/Sao_Paulo,Leopoldina,LEP,BR,POINT (-42.666668 -21.466667),919,,Leopoldina,Minas Gerais
JNA,America/Sao_Paulo,Januaria,JNA,BR,POINT (-44.38438081278936 -15.473317399999999),1571,SNJN,Januaria,Minas Gerais
LIP,America/Sao_Paulo,Lins,LIP,BR,POINT (-49.73213046125255 -21.66259085),1559,SWXQ,Lins,Sao Paulo
